Barcode,Main language,Product name,Quantity,Brands,Categories,Labels,Origins of ingredients,Ingredients list,Allergens,Traces,Energy (kJ) for 100 g / 100 ml,Energy (kcal) for 100 g / 100 ml,Fat for 100 g / 100 ml,Saturated fat for 100 g / 100 ml,Carbohydrates for 100 g / 100 ml,Sugars for 100 g / 100 ml,Fiber for 100 g / 100 ml,Proteins for 100 g / 100 ml,Salt for 100 g / 100 ml,Fruits‚ vegetables‚ nuts and rapeseed‚ walnut and olive oils for 100 g / 100 ml,Fruits‚ vegetables and nuts - dried for 100 g / 100 ml,Recycling instructions and/or packaging information,Link to front product photo,Link to ingredients list photo,Link to nutrition facts table photo,Link to recycling instructions and/or packaging information photo,Type of the product photo,Abbreviated product name,Common name,Serving size,Packaging,Countries,Stores,Product taken off the market,Withdrawal date,Traceability codes,Recycling instructions - To recycle,Recycling instructions - To discard,Producer product identifier,Producer version identifier,Net weight,Drained weight,Volume,Brand owner,Periods after opening,Origin of the product and/or its ingredients,Manufacturing or processing places,Producer,Sodium for 100 g / 100 ml,Alcohol for 100 g / 100 ml,Packaging 1 - Number of units,Packaging 1 - Shape,Packaging 1 - Material,Packaging 1 - Recycling,Packaging 1 - Weight of one empty unit,Packaging 1 - Quantity of product contained per unit,Packaging 2 - Number of units,Packaging 2 - Shape,Packaging 2 - Material,Packaging 2 - Recycling,Packaging 2 - Weight of one empty unit,Packaging 2 - Quantity of product contained per unit,Packaging 3 - Number of units,Packaging 3 - Shape,Packaging 3 - Material,Packaging 3 - Recycling,Packaging 3 - Weight of one empty unit,Packaging 3 - Quantity of product contained per unit,Packaging 4 - Number of units,Packaging 4 - Shape,Packaging 4 - Material,Packaging 4 - Recycling,Packaging 4 - Weight of one empty unit,Packaging 4 - Quantity of product contained per unit,Packaging 5 - Number of units,Packaging 5 - Shape,Packaging 5 - Material,Packaging 5 - Recycling,Packaging 5 - Weight of one empty unit,Packaging 5 - Quantity of product contained per unit,Conservation conditions,Warning,Preparation,Nutri-Score score,Nutri-Score,NOVA group,Recipe idea,Customer service,Link to the product page on the official site of the producer,Link to other product photo
1633636543505,English,"Granola, Cinnamon, Raisin, Cinnamon, Raisin",0.25 cup,,29,,,"Organic Rolled Oats, Organic Unsweetened Coconut, Organic Brown Sugar, Organic Seedless Raisins, Sunflower Seeds, Walnuts, Expeller-Pressed Non-Gmo Canola Oil, Filtered Water, Pure Vanilla Extract, Spices, Sea Salt.",,,2093.4,500.0,25.0,7.14,57.1,21.4,,10.7,0.4025,,,,,,,,,,,g,,,,,,,,,,,,,,Michele'S,,,,,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8906004982514,English,Supreme Basmati Rice,0.25 cup,,29,,,Riz Basmati Rice.,,,1490.5008,356.0,0.0,0.0,80.0,4.44,,8.89,0.0,,,,,,,,,,,g,,,,,,,,,,,,,,Veetee,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76014101088,English,"Original Sweet & Smoky Bar """"B"""" """"Q"""" Sauce, Original",1.07 ONZ,,29,,,"Tomato Paste, Water, Sugar, Vinegar, Corn Syrup, Salt, Liquid Smoke, Worcestershire Sauce (Water, Vinegar, Salt, Sugar, Malic Acid, Molasses, Citric Acid, Dehydrated Onion And Garlic, Food Gums (Arabic, Xanthan, Guar, Cellulose), Spices, Dextrose, Natural Flavors, And Smoke Flavor), Spices And Sodium Benzoate As A Preservative.",,,489.8556,117.0,0.0,0.0,26.7,23.3,,0.0,1.75,,,,,,,,,,,g,,,,,,,,,,,,,,Cookies Food Products Inc.,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59642000503,English,"Eggs, Egg Shaped Bubble Gum Filled With Extra Sour Flavor Crystals",1 PIECE,,29,,,"Sugar, Corn Syrup (Glucose), Gum Base, Dextrose, Citric Acid, Tapioca Dextrin, Confectioners Glaze, Carnauba Wax, Artificial Flavors, Artificial Colors,(Fd&C Rd 40, Blue 1, Yellow 5, Yellow 6), Corn Starch, Bht (To Maintain Freshness). Soy May Be Present.",,,1394.2043999999999,333.0,0.0,,83.3,66.7,,0.0,0.0,,,,,,,,,,,g,,,,,,,,,,,,,,Cry Baby,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59642932491,English,"Dubble Bubble, Bubble Gum",1 PIECE,,29,,,"Sugar, Dextrose, Corn Syrup (Glucose), Gum Base, High Fructose Corn Syrup, Artificial Flavors, Artificial Color (Fd&C Red 3), Corn Starch, Bht (To Maintain Freshness).",,,1394.2043999999999,333.0,0.0,,83.3,83.3,,0.0,0.0,,,,,,,,,,,g,,,,,,,,,,,,,,Dubble Bubble,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911152013582,English,Roasted Seaweed,1 SHEET,,29,,,Seaweed,,,1674.72,400.0,0.0,0.0,40.0,0.0,,40.0,2.0,,,,,,,,,,,g,,,,,,,,,,,,,,Yamamotoyama,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3927783004056,English,"Bubble Gum, Original & Blue Razz",1 PIECE,,29,,,"All Flavors Contain: Sugar, Additionally: Original: Gum Base, Glucose Syrup, Natural &Artificial Flavors, Glycerine Citric Acid, Titanium Dioxide, Bht (Preservative), Red 40 Lake, Red 40, Blue Raspberry: Glucose Syrup, Gum Base, Artificial Flavors, Citric Acid, Glycerine, Malic Acid, Aspartame, Blue 1 Lake, Acesulfame Potassium, Titanium Dioxide, Bht (Preservative),",,,1394.2043999999999,333.0,0.0,,83.3,66.7,,0.0,0.0,,,,,,,,,,,g,,,,,,,,,,,,,,Bazooka,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627404030169,English,Spring Roll Skin,100 GRM,,29,,,"Rice Flour, Tapioca Starch, Water, Salt",,,1423.512,340.0,0.22,0.13,82.5,0.0,,2.13,2.15,,,,,,,,,,,g,,,,,,,,,,,,,,Not A Branded Item,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884789500506,English,"Corn Fritter Mix, Corn Fritter Mix",17.5 GRM,,29,,,"Corn Starch, Natural Modified Tapioca Starch, Dextrose, Salt (Sodium Chloride) And Leudants (Sodium Bicarbobnate)",,,1436.0724,343.0,0.0,0.0,85.7,5.71,,0.0,0.8275,,,,,,,,,,,g,,,,,,,,,,,,,,Del Sur,,,,,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813090000000,English,"Pineapple & Orange Habanero Hot Sauce, Pineapple & Orange Habanero",1 Tbsp,,29,,,"Crushed Pineapple, Orange Juice, Mango Puree, Distilled Vinegar, Apple Sauce, Lemon Juice, Soy Sauce (Water, Non-Gmo Soybeans, Wheat, Salt), Pure Honey, Habanero Peppers, Roasted Garlic, Spices And Salt.",,,280.5156,67.0,0.0,0.0,13.3,13.3,,0.0,0.5,,,,,,,,,,,g,,,,,,,,,,,,,,Gunther'S Gourmet,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
